"z","Y","std"
-0.923,0,0.2451
-2.5573,0,0.3777
-1.2992,0,0.288
-0.4557,0,0.2309
-1.9294,0,0.3376
-0.2482,0,0.244
-0.2692,1,0.2167
-0.2407,0,0.2446
-1.7129,0,0.3374
-0.1524,1,0.2521
-0.2751,0,0.2419
0.7372,1,0.2091
-0.189,1,0.2489
-0.16,1,0.213
-1.0399,1,0.2572
-0.5479,0,0.2284
-0.5524,0,0.2283
0.3256,1,0.2044
0.0559,1,0.2075
-0.7178,1,0.2307
0.2325,1,0.205
-0.3813,1,0.2347
-0.7515,0,0.2323
-0.7745,0,0.2335
-1.4295,0,0.3038
0.5239,1,0.205
0.2204,1,0.2051
-0.2274,1,0.2457
-0.9788,0,0.2506
-2.5448,0,0.3763
-0.1702,1,0.2133
-1.259,0,0.2831
-1.3894,0,0.2989
-0.1798,1,0.2497
-1.0815,0,0.3259
-0.8335,0,0.2375
-1.2042,0,0.2764
0.1944,1,0.2054
-0.5397,0,0.2285
-0.1283,1,0.2542
-0.1543,1,0.2519
-1.4998,0,0.3282
-0.272,0,0.2422
-1.2534,0,0.2824
-0.4133,1,0.2329
-0.0978,1,0.2111
-0.6297,0,0.2283
-1.702,0,0.3316
-1.1079,1,0.2649
-0.9869,0,0.2514
-0.4816,1,0.23
0.6726,1,0.2074
-0.7936,1,0.2347
-0.7091,1,0.2304
-0.8107,0,0.2359
0.302,1,0.2045
-0.8022,1,0.2353
0.0359,1,0.2079
0.0163,1,0.2083
-1.12,0,0.2663
-0.3796,0,0.2348
-0.6225,0,0.2282
0.3584,1,0.2043
-0.4894,0,0.2297
0.4026,1,0.2043
0.1575,1,0.2059
-0.5903,1,0.2326
0.1803,1,0.2056
-0.0298,1,0.2094
-1.2342,0,0.28
0.2947,1,0.2045
-0.647,0,0.2286
0.4348,1,0.2044
-0.8067,0,0.2356
-1.4833,0,0.328
-1.0352,0,0.2567
-0.0528,1,0.2099
-1.6959,0,0.3315
-0.1636,1,0.2131
0.3886,1,0.2043
-0.3208,0,0.2386
-0.0352,1,0.2095
-1.328,0,0.2915
-0.033,1,0.2095
-0.0311,1,0.2094
0.1507,1,0.2059
-0.4673,1,0.2305
-0.1163,1,0.2553
0.2715,1,0.2047
-0.8471,0,0.2385
-0.0803,1,0.2107
-1.2707,0,0.2845
0.1518,1,0.2059
0.1147,1,0.2065
-0.2759,1,0.2419
-1.0955,0,0.2635
-1.2795,0,0.2856
0.1223,1,0.2064
-0.1334,1,0.2122
-0.2967,0,0.2403
-0.1057,1,0.2562
0.2998,1,0.2045
-1.2393,0,0.2807
-0.2578,0,0.2433
-0.4158,1,0.2328
-1.0281,0,0.2559
0.3783,1,0.2043
0.1334,1,0.2062
-0.7467,1,0.232
-0.4927,0,0.2269
-0.8773,0,0.241
-0.8546,0,0.2391
-0.6523,1,0.2287
-0.3976,0,0.2337
0.5801,1,0.2056
-0.5724,0,0.2281
-0.3524,0,0.2365
0.0365,1,0.2079
0.0695,1,0.2073
-1.0803,0,0.2617
0.6326,1,0.2065
-0.4527,0,0.2311
-0.6118,1,0.2281
-0.2411,0,0.2157
-0.8332,0,0.2375
-0.0178,1,0.2091
-0.2213,0,0.2462
0.343,1,0.2043
0.0476,1,0.2077
1.2753,1,0.2449
-0.7576,0,0.2326
-0.4759,0,0.2302
0.1754,1,0.2056
-2.3995,0,0.366
0.2143,1,0.2052
0.1175,1,0.2064
0.3341,1,0.2044
-0.2967,0,0.2403
-0.1611,0,0.213
0.0979,1,0.2068
-0.7386,0,0.2316
-0.0209,1,0.2092
-0.2072,0,0.2474
-0.2899,0,0.2408
-0.5253,1,0.2288
-0.2071,1,0.2145
0.3832,1,0.2043
0.6909,1,0.2078
-1.3885,0,0.327
-0.3233,1,0.2188
-0.2378,1,0.2449
0.7388,1,0.2091
-0.5796,0,0.2281
-0.8327,0,0.3232
0.006,1,0.2664
0.0294,1,0.2081
0.0535,1,0.2076
-0.7123,0,0.2305
0.3184,1,0.2044
-0.3716,0,0.2353
-0.035,1,0.2095
-0.988,0,0.2516
0.0145,1,0.2672
-0.1734,1,0.2134
0.415,1,0.2043
0.7552,1,0.2097
0.2783,1,0.2046
-0.4778,0,0.2301
0.3517,1,0.2043
-0.6816,0,0.2294
-0.6495,0,0.2286
-0.3382,1,0.2374
-0.8086,0,0.2357
-0.298,0,0.2402
0.6025,1,0.206
0.7612,1,0.2098
-0.2951,0,0.2404
-0.0985,1,0.2569
-0.2886,0,0.2409
-0.1777,1,0.2135
-0.1988,1,0.2481
-0.0649,1,0.2599
0.4341,1,0.2044
0.2797,1,0.2046
-0.6499,0,0.2286
-1.1975,0,0.3259
-1.0146,0,0.2544
0.0339,1,0.208
-0.6982,0,0.23
-1.3616,0,0.3267
0.8793,1,0.2145
-0.4675,0,0.2305
0.0254,1,0.2081
0.1281,1,0.2063
-1.0008,0,0.2529
-0.8328,0,0.2374
-0.6663,1,0.229
0.0226,1,0.2082
-0.9162,0,0.2444
-0.5277,1,0.2287
-0.68,0,0.2294
-0.6737,0,0.2292
0.2568,1,0.2048
-0.8683,0,0.2402
0.3252,1,0.2044
-0.1729,1,0.2134
-1.0833,0,0.2621
-0.2972,0,0.2403
0.4239,1,0.2043
-0.0449,1,0.2097
0.2968,1,0.2045
-0.1554,1,0.2128
-0.5659,0,0.2282
0.2221,1,0.2869
-0.6606,1,0.2289
0.2694,1,0.2047
0.3627,1,0.2043
-0.1702,1,0.2133
-2.4341,0,0.3658
-0.3714,0,0.2209
0.0672,1,0.2073
0.2989,1,0.2045
-0.6418,1,0.2285
-0.9119,0,0.244
0.1033,1,0.2067
-0.0675,1,0.2103
-1.7539,0,0.3422
-1.4274,0,0.3035
-0.4414,1,0.2315
-0.1406,1,0.2124
0.263,1,0.2047
-0.7733,0,0.2335
-0.216,0,0.2467
-0.6286,1,0.2283
-0.3788,1,0.2348
0.6966,1,0.208
-0.9943,0,0.2522
-0.3229,1,0.2188
-0.003,1,0.2088
-3.6703,0,0.6115
-0.5043,1,0.2293
-0.2842,1,0.2173
-1.0793,0,0.2616
-0.1674,1,0.2508
-1.3327,0,0.3265
-0.0834,1,0.2582
0.7779,1,0.2104
-0.3238,1,0.2384
-1.2282,0,0.2793
0.1548,1,0.2059
-0.5999,0,0.2281
-0.8012,0,0.2352
-1.5839,0,0.3294
-1.0616,0,0.2596
-0.2873,0,0.2174
0.0675,1,0.2073
-1.0086,0,0.2538
-0.7098,0,0.2304
0.1114,1,0.2065
-0.8166,0,0.2363
0.1957,1,0.2054
-0.3341,0,0.2193
-0.0806,1,0.2585
0.3504,1,0.2043
0.1298,1,0.2063
-0.4264,1,0.2322
0.8212,1,0.212
-1.5699,0,0.3292
-0.7757,0,0.2336
-0.1586,1,0.2129
0.944,1,0.2178
-0.5722,0,0.2281
-0.0168,1,0.2091
0.1402,1,0.2061
-0.2405,1,0.2447
0.1976,1,0.2054
-0.6707,1,0.2291
-0.4761,1,0.2302
-0.5943,0,0.2281
-0.9379,0,0.2465
-0.1827,1,0.2495
-0.7434,0,0.2319
-0.4795,0,0.23
0.3455,1,0.2043
-0.4561,0,0.2309
0.3886,1,0.2043
0.7566,1,0.2097
0.012,1,0.2084
-1.1759,0,0.273
0.2189,1,0.2051
-0.536,0,0.2286
-1.1474,0,0.3258
-0.3351,0,0.2193
-1.2757,0,0.2851
-0.3233,1,0.2384
0.2488,1,0.2049
0.3965,1,0.2043
0.1711,1,0.2057
-1.1539,0,0.2704
-0.9403,0,0.2467
-1.1115,0,0.2654
-0.0817,1,0.2584
-0.5666,0,0.2282
-0.5995,0,0.2332
0.033,1,0.208
-0.0243,1,0.2092
-0.0526,1,0.261
0.3266,1,0.2044
0.4162,1,0.2043
-0.3003,1,0.2401
-1.1294,0,0.2675
-0.3574,0,0.2361
0.3362,1,0.2044
-0.79,0,0.2345
-0.5471,1,0.2284
-0.4068,0,0.2332
-0.37,0,0.2353
-0.8021,0,0.2353
0.4143,1,0.2043
0.0078,1,0.2666
0.0103,1,0.2085
-0.6368,0,0.2284
-0.5242,0,0.2288
-0.3981,0,0.2337
0.3615,1,0.2043
0.3289,1,0.2044
-0.1095,1,0.2115
-0.0082,1,0.2089
0.3747,1,0.2043
0.1258,1,0.2776
-0.1286,1,0.2542
-0.123,1,0.2118
0.575,1,0.2056
-1.0229,0,0.2553
0.5006,1,0.2047
-0.3845,0,0.2345
-0.9211,0,0.2449
0.1038,1,0.2067
-0.4686,0,0.2304
-0.2688,1,0.2424
0.8334,1,0.2125
-0.143,1,0.2529
-0.5877,0,0.2325
-0.5363,0,0.2285
-0.0614,1,0.2102
-0.2447,1,0.2443
0.8545,1,0.2134
-0.2191,1,0.2464
-0.1475,1,0.2126
-0.9393,0,0.2466
-0.5555,0,0.2283
-0.6535,1,0.2287
0.1321,1,0.2062
0.1546,1,0.2059
-0.5087,0,0.2292
-0.1881,1,0.249
0.1089,1,0.2066
-0.7199,0,0.2308
-0.22,1,0.2463
0.4601,1,0.2045
-0.1829,1,0.2137
-1.6852,0,0.3341
-0.0398,1,0.2096
0.207,1,0.2053
-0.409,1,0.2331
-0.6309,0,0.2283
-0.6636,0,0.2289
0.0444,1,0.2077
-0.1164,0,0.2117
-0.5017,0,0.2293
-0.3708,1,0.2209
0.6821,1,0.2076
0.3161,1,0.2044
-0.721,0,0.2308
-0.6784,0,0.2293
-0.6844,0,0.2295
-0.7261,0,0.2311
-0.0483,1,0.2614
-0.1985,1,0.2481
-0.5764,1,0.2318
0.5293,1,0.205
-0.9624,0,0.2489
0.1284,1,0.2063
-1.4715,0,0.3088
0.1281,1,0.2063
-0.2582,0,0.2433
-1.1855,0,0.2742
-0.0038,1,0.2088
0.6491,1,0.2069
-1.9939,0,0.3398
-0.7762,0,0.2336
-0.5189,1,0.2289
-0.0382,1,0.2096
-1.4598,0,0.3277
-0.7749,0,0.2336
-0.5692,1,0.2281
0.1051,1,0.2066
-0.1557,1,0.2128
0.1079,1,0.2066
-1.5303,0,0.3286
-0.0392,1,0.2623
-0.643,1,0.2285
-1.186,0,0.2742
-0.1975,1,0.2142
0.3085,1,0.2045
-0.6702,0,0.2291
-0.0153,1,0.209
-0.1231,1,0.2118
-0.0095,1,0.265
-1.339,0,0.2928
-0.798,0,0.235
-1.4298,0,0.3038
0.2458,1,0.2049
-0.5329,0,0.2286
0.121,1,0.2064
-0.3244,1,0.2383
0.1771,1,0.2056
-0.4095,0,0.2331
-0.392,1,0.2341
-0.4008,1,0.2336
0.886,1,0.2148
-1.4569,0,0.3277
-0.8445,1,0.2383
-0.38,0,0.2347
-1.3191,0,0.3264
-0.1216,1,0.2548
-0.2966,1,0.2403
-1.3635,0,0.2958
-0.4936,0,0.2296
0.907,1,0.2158
-0.3964,0,0.222
-0.3661,1,0.2356
-0.2143,1,0.2147
-0.5277,1,0.2287
-0.6656,0,0.229
-1.5494,0,0.3181
0.2318,1,0.205
-1.207,0,0.2767
-1.2848,0,0.2862
-0.5923,0,0.2281
-2.3994,0,0.3629
-0.2368,1,0.245
-0.1706,1,0.2133
-0.7522,0,0.2323
-0.6039,0,0.2281
0.3633,1,0.2043
-0.3146,0,0.239
-0.1516,1,0.2522
-0.7253,1,0.231
-0.7667,0,0.2331
0.3135,1,0.2044
-0.4536,0,0.231
-1.534,0,0.3287
0.0993,1,0.2067
-0.2704,1,0.2423
-0.2015,1,0.2479
-0.4725,1,0.2303
-0.3943,0,0.2339
-0.5013,1,0.2294
-0.6206,0,0.2346
-1.092,0,0.2631
-0.8849,0,0.2416
-1.1492,0,0.2698
-0.4513,0,0.2311
-0.1438,1,0.2125
-1.0559,0,0.259
0.0142,1,0.2084
0.498,1,0.2047
-0.1788,1,0.2136
0.0633,1,0.2074
-0.024,1,0.2092
-0.455,1,0.231
-0.7268,0,0.2311
-0.8397,0,0.238
-0.4636,0,0.2306
0.127,1,0.2063
-1.0517,0,0.2585
-0.5832,0,0.2281
-0.4666,1,0.2305
-0.0719,1,0.2593
-0.3638,1,0.2206
0.6893,1,0.2078
1.2675,1,0.2441
-0.2454,1,0.2158
0.366,1,0.2043
-0.5045,0,0.2293
-1.2008,0,0.276
-1.9588,0,0.3386
-1.173,0,0.2726
1.1578,1,0.2332
-0.8669,0,0.2401
-0.2326,1,0.2453
-1.1863,0,0.2742
-0.3729,0,0.2352
-0.0161,1,0.2091
0.3091,1,0.2045
-0.8049,0,0.2355
-0.9998,0,0.2528
-0.142,1,0.253
0.0199,1,0.2083
0.0061,1,0.2085
0.3938,1,0.2043
-1.4188,0,0.3025
-0.7457,1,0.232
0.3027,1,0.2045
-0.1375,1,0.2534
-1.226,0,0.279
-0.3448,1,0.2197
-0.2112,1,0.2471
-1.3595,0,0.2953
-0.9881,0,0.2516
0.3489,1,0.2043
-2.1861,0,0.3485
-0.458,0,0.2308
0.1182,1,0.2064
-0.6132,0,0.2281
-2.2799,0,0.3542
-1.5516,0,0.3289
-0.4093,0,0.2331
0.4147,1,0.2043
-0.3454,0,0.2369
-0.1524,1,0.2127
-0.2589,1,0.2432
-0.1466,1,0.2526
-0.67,0,0.2291
-0.3943,1,0.2339
-1.1406,0,0.2688
-0.2103,1,0.2146
0.1503,1,0.206
-0.1184,1,0.2551
-1.0786,0,0.2615
-0.701,0,0.2301
-0.101,1,0.2112
-0.5709,0,0.2281
0.0214,1,0.2082
-0.9425,0,0.247
-1.3825,0,0.3269
-0.7915,0,0.2346
-0.6105,0,0.2281
-1.0372,0,0.2569
-1.658,0,0.3307
-0.2004,0,0.248
0.6418,1,0.2067
-0.3032,1,0.218
-0.9004,0,0.243
1.0715,1,0.2261
0.3006,1,0.2045
-0.9962,0,0.2524
-0.7822,0,0.234
-0.7919,1,0.2346
1.0732,1,0.2262
-0.1093,1,0.2559
0.1016,1,0.2067
-0.4061,0,0.2333
-0.5065,0,0.2292
-0.72,0,0.2308
-0.8308,0,0.2373
-0.469,0,0.2304
-0.0936,1,0.211
-0.1709,1,0.2505
-0.1828,1,0.2137
